회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스,이월수,보너스이월
1203,3,6,18,29,35,39,24,0,0
1202,5,12,21,33,37,40,7,1,1
1201,7,9,24,27,35,36,37,0,0
1200,1,2,4,16,20,32,45,2,0
1199,16,24,25,30,31,32,7,1,0
1198,26,30,33,38,39,41,21,2,1
1197,1,5,7,26,28,43,30,0,0
1196,8,12,15,29,40,45,14,1,0
1195,3,15,27,33,34,36,37,3,0
1194,3,13,15,24,33,37,2,1,0
1193,6,9,16,19,24,28,17,1,0
1192,10,16,23,36,39,40,11,0,0
1191,1,4,11,12,20,41,2,0,0
1190,7,9,19,23,26,45,33,2,0
1189,9,19,29,35,37,38,31,2,1
1188,3,4,12,19,22,27,9,0,0
1187,5,13,26,29,37,40,42,1,0
1186,2,8,13,16,23,28,35,1,0
1185,6,17,22,28,29,32,38,0,0
1184,14,16,23,25,31,37,42,2,1
1183,4,15,17,23,27,36,31,0,0
1182,1,13,21,25,28,31,22,1,1
1181,8,10,14,20,33,41,28,1,0
1180,6,12,18,37,40,41,3,2,0
1179,3,16,18,24,40,44,21,1,0
1178,5,6,11,27,43,44,17,1,0
1177,3,7,15,16,19,43,21,1,0
1176,7,9,11,21,30,35,29,0,0
1175,3,4,6,8,32,42,31,1,0
1174,8,11,14,17,36,39,22,0,0
1173,1,5,18,20,30,35,3,0,0
1172,7,9,24,40,42,44,45,1,0
1171,3,6,7,11,12,17,19,1,0
1170,3,13,28,34,38,42,25,1,0
1169,5,12,24,26,39,42,20,1,0
1168,9,21,24,30,33,37,29,1,1
1167,8,23,31,35,39,40,24,1,0
1166,14,23,25,27,29,42,16,2,0
1165,6,7,27,29,38,45,17,1,0
1164,17,18,23,25,38,39,22,0,0
1163,2,13,15,16,33,43,4,0,0
1162,20,21,22,25,28,29,6,1,0
1161,2,12,20,24,34,42,37,0,0
1160,7,13,18,36,39,45,19,2,1
1159,3,9,27,28,38,39,7,2,0
1158,21,25,27,32,37,38,20,1,0
1157,5,7,12,20,25,26,28,1,1
1156,30,31,34,39,41,45,7,0,0
